product_name,brand,category,price,promo_price,volume_ml,rating,review_count,shade_count,finish_type,coverage_level,skin_type,availability,source_url
Infaillible Full Wear Concealer Waterproof,L'Oréal Paris,correcteur,13.99,10.99,10,4.6,2145,27,mat,totale,tous types,En stock,https://www.sephora.fr/p/infaillible-full-wear-concealer-waterproof-P10073412.html
Color Riche Free the Nudes Lipstick,L'Oréal Paris,lèvres,12.99,,,4.4,876,16,satiné,,,En stock,https://www.sephora.fr/p/color-riche-free-the-nudes-P10069834.html
Infaillible 24H Matte Lip Liner,L'Oréal Paris,lèvres,9.99,,,4.2,634,12,mat,,,En stock,https://www.sephora.fr/p/infaillible-24h-matte-lip-liner-P10043298.html
Infaillible Matte Resistance Liquid Lipstick,L'Oréal Paris,lèvres,13.99,,5,4.5,1102,20,mat,,,En stock,https://www.sephora.fr/p/infaillible-matte-resistance-liquid-lipstick-P10061234.html
Color Riche Plump & Shine Lipstick,L'Oréal Paris,lèvres,13.99,,,4.3,489,11,lumineux,,,En stock,https://www.sephora.fr/p/color-riche-plump-shine-lipstick-P10055671.html
Brilliant Signature Liquid Lipstick,L'Oréal Paris,lèvres,12.99,,6.4,4.4,721,18,lumineux,,,En stock,https://www.sephora.fr/p/brilliant-signature-liquid-lipstick-P10047109.html
Color Riche Satin Lipstick,L'Oréal Paris,lèvres,11.99,8.99,,4.5,3241,60,satiné,,,En stock,https://www.sephora.fr/p/color-riche-satin-lipstick-P10003421.html
Voluminous Original Mascara,L'Oréal Paris,yeux,12.99,,8,4.3,2876,2,,,,En stock,https://www.sephora.fr/p/voluminous-original-mascara-P10001234.html
Paradise Mascara Waterproof,L'Oréal Paris,yeux,14.99,,6.4,4.5,1987,1,,,,En stock,https://www.sephora.fr/p/paradise-mascara-waterproof-P10038921.html
Bambi Eye Mascara,L'Oréal Paris,yeux,13.99,,9.9,4.4,1543,2,,,,En stock,https://www.sephora.fr/p/bambi-eye-mascara-P10029876.html
Infaillible Grip 36H Gel Automatic Eyeliner,L'Oréal Paris,yeux,11.99,,,4.6,1234,8,,,,En stock,https://www.sephora.fr/p/infaillible-grip-36h-gel-eyeliner-P10064312.html
Color Queen Oil Shadow,L'Oréal Paris,yeux,10.99,,,4.2,456,24,lumineux,,,En stock,https://www.sephora.fr/p/color-queen-oil-shadow-P10041287.html
Infaillible 24H Eye Shadow,L'Oréal Paris,yeux,9.99,7.49,,4.1,678,30,mat,,,En stock,https://www.sephora.fr/p/infaillible-24h-eye-shadow-P10015678.html
Telescopic Lift Mascara,L'Oréal Paris,yeux,14.99,,9.9,4.6,2312,1,,,,En stock,https://www.sephora.fr/p/telescopic-lift-mascara-P10072341.html
Matte Signature Liquid Eyeliner,L'Oréal Paris,yeux,10.99,,,4.3,891,5,mat,,,En stock,https://www.sephora.fr/p/matte-signature-liquid-eyeliner-P10058234.html
True Match Blush,L'Oréal Paris,blush & bronzer,13.99,,6,4.4,876,7,satiné,,tous types,En stock,https://www.sephora.fr/p/true-match-blush-P10011234.html
Infaillible 24H Fresh Wear Loose Powder,L'Oréal Paris,blush & bronzer,14.99,,17,4.3,543,4,mat,légère,grasse / mixte,En stock,https://www.sephora.fr/p/infaillible-24h-fresh-wear-loose-powder-P10067891.html
Glam Bronze Powder,L'Oréal Paris,blush & bronzer,14.99,11.99,10,4.5,1023,5,lumineux,,tous types,En stock,https://www.sephora.fr/p/glam-bronze-powder-P10008765.html
True Match Healthy Glow Bronzing Powder,L'Oréal Paris,blush & bronzer,15.99,,12,4.4,712,3,lumineux,,tous types,En stock,https://www.sephora.fr/p/true-match-healthy-glow-bronzing-powder-P10054321.html
Infaillible Blush Paint,L'Oréal Paris,blush & bronzer,12.99,,9,4.2,387,6,satiné,,tous types,Rupture,https://www.sephora.fr/p/infaillible-blush-paint-P10070123.html
